#keV	MMA1	MMA2	MMA3	Total
#
4.78	197.4	194.1	201.3	592.7
4.82	197.4	194.1	201.4	593.0
4.86	197.5	194.2	201.5	593.3
4.90	197.6	194.3	201.6	593.5
4.94	197.7	194.4	201.6	593.7
4.98	197.7	194.4	201.7	593.8
5.02	197.8	194.5	201.8	594.0
5.06	197.8	194.5	201.8	594.1
5.10	197.9	194.6	201.9	594.3
5.14	197.9	194.6	201.9	594.3
5.18	197.9	194.6	201.9	594.4
5.22	197.9	194.6	201.9	594.4
5.26	197.9	194.6	201.9	594.5
5.30	198.0	194.6	201.9	594.6
5.34	197.9	194.6	201.9	594.5
5.38	197.9	194.6	201.9	594.4
5.42	197.9	194.6	201.9	594.4
5.46	197.9	194.6	201.9	594.3
5.50	197.9	194.6	201.9	594.3
5.54	197.8	194.5	201.8	594.1
5.58	197.7	194.4	201.7	593.9
5.62	197.7	194.4	201.6	593.7
5.66	197.6	194.3	201.6	593.5
5.70	197.5	194.2	201.5	593.3
5.74	197.4	194.1	201.4	592.9
5.78	197.3	194.0	201.3	592.5
5.82	197.2	193.9	201.1	592.2
5.86	197.0	193.7	201.0	591.8
5.90	196.9	193.6	200.9	591.4
5.94	196.7	193.4	200.7	590.8
5.98	196.5	193.2	200.4	590.1
6.02	196.2	193.0	200.2	589.4
6.06	196.0	192.7	200.0	588.7
6.10	195.8	192.5	199.7	588.1
6.14	195.4	192.1	199.4	586.9
6.18	195.0	191.8	199.0	585.8
6.22	194.7	191.4	198.6	584.6
6.26	194.3	191.0	198.2	583.5
6.30	193.9	190.7	197.8	582.3
6.34	193.1	189.9	197.0	580.0
6.38	192.3	189.1	196.2	577.7
6.42	191.6	188.4	195.4	575.3
6.46	190.8	187.6	194.6	573.0
6.50	190.0	186.8	193.8	570.7
6.54	188.3	185.2	192.1	565.6
6.58	186.7	183.5	190.4	560.6
6.62	185.0	181.9	188.7	555.6
6.66	183.3	180.2	187.0	550.5
6.70	181.6	178.6	185.3	545.5
6.74	179.0	176.0	182.6	537.6
6.78	176.4	173.4	180.0	529.8
6.82	173.8	170.9	177.3	522.0
6.86	171.2	168.3	174.6	514.1
6.90	168.6	165.7	172.0	506.3
6.94	165.7	162.9	169.0	497.6
6.98	162.8	160.0	166.0	488.8
7.02	159.9	157.2	163.1	480.1
7.06	157.0	154.3	160.1	471.4
7.10	154.0	151.5	157.1	462.7
7.14	151.1	148.6	154.1	453.8
7.18	148.2	145.7	151.1	445.0
7.22	145.2	142.8	148.2	436.2
7.26	142.3	139.9	145.2	427.3
7.30	139.3	137.0	142.2	418.5
7.34	136.4	134.1	139.2	409.7
7.38	133.5	131.3	136.2	401.0
7.42	130.6	128.4	133.2	392.2
7.46	127.7	125.5	130.2	383.4
7.50	124.7	122.7	127.3	374.6
7.54	120.3	118.3	122.7	361.4
7.58	115.9	113.9	118.2	348.1
7.62	111.5	109.6	113.7	334.8
7.66	107.0	105.2	109.2	321.5
7.70	102.6	100.9	104.7	308.2
7.74	99.2	97.5	101.2	298.0
7.78	95.8	94.2	97.7	287.7
7.82	92.4	90.8	94.3	277.5
7.86	89.0	87.5	90.8	267.3
7.90	85.6	84.1	87.3	257.0
7.94	83.4	82.0	85.1	250.5
7.98	81.2	79.9	82.9	243.9
8.02	79.0	77.7	80.6	237.4
8.06	76.9	75.6	78.4	230.9
8.10	74.7	73.4	76.2	224.3
8.14	66.7	65.6	68.0	200.3
8.18	58.7	57.7	59.9	176.3
8.22	50.7	49.9	51.7	152.4
8.26	42.7	42.0	43.6	128.4
8.30	34.8	34.2	35.5	104.4
8.34	33.4	32.9	34.1	100.4
8.38	32.1	31.6	32.8	96.5
8.42	30.8	30.3	31.4	92.5
8.46	29.5	29.0	30.1	88.6
8.50	28.2	27.7	28.7	84.6
8.54	28.3	27.8	28.9	85.0
8.58	28.4	27.9	29.0	85.4
8.62	28.5	28.1	29.1	85.7
8.66	28.7	28.2	29.2	86.1
8.70	28.8	28.3	29.4	86.5
8.74	28.5	28.1	29.1	85.7
8.78	28.3	27.8	28.9	85.0
8.82	28.1	27.6	28.6	84.3
8.86	27.8	27.4	28.4	83.5
8.90	27.6	27.1	28.1	82.8
8.94	27.2	26.8	27.8	81.7
8.98	26.8	26.4	27.4	80.6
9.02	26.5	26.0	27.0	79.6
9.06	26.1	25.7	26.6	78.5
9.10	25.8	25.3	26.3	77.4
9.14	25.3	24.9	25.9	76.1
9.18	24.9	24.5	25.4	74.9
9.22	24.5	24.1	25.0	73.6
9.26	24.1	23.7	24.6	72.4
9.30	23.7	23.3	24.2	71.1
9.34	23.3	22.9	23.7	69.8
9.38	22.8	22.4	23.3	68.5
9.42	22.4	22.0	22.8	67.2
9.46	22.0	21.6	22.4	65.9
9.50	21.5	21.2	22.0	64.6
9.54	21.1	20.7	21.5	63.3
9.58	20.7	20.3	21.1	62.1
9.62	20.2	19.9	20.6	60.8
9.66	19.8	19.5	20.2	59.5
9.70	19.4	19.0	19.8	58.2
9.74	18.9	18.6	19.3	56.8
9.78	18.5	18.2	18.8	55.5
9.82	18.0	17.7	18.4	54.1
9.86	17.6	17.3	17.9	52.8
9.90	17.1	16.8	17.5	51.4
9.94	16.7	16.4	17.0	50.1
9.98	16.3	16.0	16.6	48.8
10.02	15.8	15.6	16.1	47.5
10.06	15.4	15.1	15.7	46.2
10.10	15.0	14.7	15.3	44.9
10.14	14.6	14.3	14.9	43.7
10.18	14.2	13.9	14.4	42.5
10.22	13.8	13.5	14.0	41.3
10.26	13.4	13.1	13.6	40.1
10.30	13.0	12.7	13.2	38.9
10.34	12.6	12.4	12.8	37.8
10.38	12.2	12.0	12.4	36.6
10.42	11.8	11.6	12.0	35.4
10.46	11.4	11.2	11.6	34.2
10.50	11.0	10.8	11.2	33.0
10.54	10.6	10.4	10.8	31.8
10.58	10.2	10.0	10.4	30.7
10.62	9.8	9.7	10.0	29.5
10.66	9.5	9.3	9.6	28.4
10.70	9.1	8.9	9.3	27.3
10.74	8.7	8.6	8.9	26.2
10.78	8.4	8.2	8.6	25.2
10.82	8.0	7.9	8.2	24.1
10.86	7.7	7.6	7.8	23.1
10.90	7.3	7.2	7.5	22.1
10.94	7.0	6.9	7.2	21.1
10.98	6.7	6.6	6.9	20.2
11.02	6.4	6.3	6.5	19.3
11.06	6.1	6.0	6.2	18.3
11.10	5.8	5.7	5.9	17.4
11.14	5.5	5.4	5.6	16.6
11.18	5.2	5.2	5.3	15.7
11.22	5.0	4.9	5.1	14.9
11.26	4.7	4.6	4.8	14.1
11.30	4.4	4.3	4.5	13.2
11.34	4.2	4.1	4.3	12.6
11.38	4.0	3.9	4.0	11.9
11.42	3.7	3.7	3.8	11.2
11.46	3.5	3.5	3.6	10.5
11.50	3.3	3.2	3.4	9.9
11.54	3.1	3.1	3.2	9.3
11.58	2.9	2.9	3.0	8.8
11.62	2.8	2.7	2.8	8.3
11.66	2.6	2.5	2.6	7.8
11.70	2.4	2.4	2.5	7.3
11.74	2.3	2.2	2.3	6.9
11.78	2.1	2.1	2.2	6.4
11.82	2.0	2.0	2.0	6.0
11.86	1.9	1.8	1.9	5.6
11.90	1.7	1.7	1.8	5.2
11.94	1.6	1.6	1.7	4.9
11.98	1.5	1.5	1.6	4.6
